theta1,theta2,theta3,Px,Py,Pz
18.39,32.52,3.17,-100,0,-480
17.57,30.39,3.89,-90,0,-480
16.84,28.31,4.7,-80,0,-480
16.19,26.3,5.58,-70,0,-480
15.64,24.36,6.56,-60,0,-480
15.17,22.47,7.61,-50,0,-480
14.78,20.66,8.75,-40,0,-480
14.48,18.91,9.97,-30,0,-480
14.27,17.23,11.27,-20,0,-480
14.14,15.63,12.65,-10,0,-480
14.1,14.1,14.1,0,0,-480
14.14,12.65,15.63,10,0,-480
14.27,11.27,17.23,20,0,-480
14.48,9.97,18.91,30,0,-480
14.78,8.75,20.66,40,0,-480
15.17,7.61,22.47,50,0,-480
15.64,6.56,24.36,60,0,-480
16.19,5.58,26.3,70,0,-480
16.84,4.7,28.31,80,0,-480
17.57,3.89,30.39,90,0,-480
18.39,3.17,32.52,100,0,-480
