theta1,theta2,theta3,Px,Py,Pz
6.43,19.42,19.42,0,-50,-480
7.12,18.08,19.54,5,-45,-480
7.85,16.77,19.7,10,-40,-480
8.62,15.49,19.9,15,-35,-480
9.44,14.25,20.14,20,-30,-480
10.29,13.05,20.43,25,-25,-480
11.19,11.89,20.75,30,-20,-480
12.12,10.76,21.12,35,-15,-480
13.1,9.67,21.53,40,-10,-480
14.11,8.62,21.98,45,-5,-480
15.17,7.61,22.47,50,0,-480
15.17,7.61,22.47,50,0,-480
15.83,7.74,21.15,45,5,-480
16.54,7.91,19.86,40,10,-480
17.29,8.13,18.61,35,15,-480
18.07,8.39,17.39,30,20,-480
18.89,8.69,16.2,25,25,-480
19.76,9.03,15.05,20,30,-480
20.65,9.41,13.94,15,35,-480
21.59,9.84,12.86,10,40,-480
22.56,10.31,11.83,5,45,-480
23.57,10.83,10.83,0,50,-480
23.57,10.83,10.83,0,50,-480
22.55,11.06,11.06,0,45,-480
21.55,11.31,11.31,0,40,-480
20.56,11.59,11.59,0,35,-480
19.59,11.89,11.89,0,30,-480
18.63,12.2,12.2,0,25,-480
17.69,12.54,12.54,0,20,-480
16.77,12.9,12.9,0,15,-480
15.86,13.28,13.28,0,10,-480
14.97,13.68,13.68,0,5,-480
14.1,14.1,14.1,0,0,-480
13.25,14.54,14.54,0,-5,-480
12.41,15.0,15.0,0,-10,-480
11.6,15.48,15.48,0,-15,-480
10.8,15.99,15.99,0,-20,-480
10.02,16.51,16.51,0,-25,-480
9.27,17.05,17.05,0,-30,-480
8.53,17.62,17.62,0,-35,-480
7.81,18.2,18.2,0,-40,-480
7.11,18.8,18.8,0,-45,-480
6.43,19.42,19.42,0,-50,-480
